[2018-01-02 09:38:39:0061] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:38:39:0070] | GigEVisionManager.cpp-L2790: event thread start...
[2018-01-02 09:38:39:0339] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:38:40:0622] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[3912]
[2018-01-02 09:08:24:0987] | GigEVisionManager.cpp-L2329: AppGetCount[4376], AppGetCountSucceed[7], ExpectRecv[7], NetRecv[7], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-01-02 09:08:26:0569] | GigEVisionManager.cpp-L2329: AppGetCount[4376], AppGetCountSucceed[7], ExpectRecv[7], NetRecv[7], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-01-02 09:08:26:0569] | GigEVisionManager.cpp-L0901: disconnect device ...
[2018-01-02 09:08:26:0572] | GigEVisionManager.cpp-L2861: event thread stop
[2018-01-02 09:08:26:0583] | GigEVisionManager.cpp-L2329: AppGetCount[4376], AppGetCountSucceed[7], ExpectRecv[7], NetRecv[7], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2018-01-02 09:08:26:0583] | GigEVisionManager.cpp-L2728: SendRsdCmd thread stop
[2018-01-02 09:08:27:0317] |   GigEVisionGVSP.cpp-L0422: [socket] NearBID[0], LastBID[0], output[0]
[2018-01-02 09:11:14:0908] | GigEVisionManager.cpp-L0272: driver mode start!
[2018-01-02 09:11:14:0908] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2018-01-02 09:11:14:0909] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:11:14:0909] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:11:14:0909] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe5d26], hostPort[57995], devIP[a9fe0f93]
[2018-01-02 09:11:14:0910] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe5d26], m_nUpDevIP[a9fe0f93]
[2018-01-02 09:11:14:0910] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:11:14:0920] | GigEVisionManager.cpp-L2790: event thread start...
[2018-01-02 09:11:15:0248] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2018-01-02 09:11:17:0650] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[4504]
